type,model,metric,mean,lb,ub
reg,dummy,mse,0.7497910510345261,0.6929842944737885,0.8133565950614055
reg,dummy,mae,0.6765899837184175,0.6462856603661875,0.7056032807388879
reg,linear,mse,0.7462198229206719,0.6894410748943411,0.8096038129665581
reg,linear,mae,0.6681577245326216,0.638738246774677,0.6978932610999953
reg,svm,mse,0.7594523076677069,0.7001384614794507,0.8223076922553634
reg,svm,mae,0.6567844614156436,0.624603846011642,0.688480769124308
reg,rf,mse,0.7462089818446704,0.6892896360505617,0.8096005696335299
reg,rf,mae,0.6689170492672036,0.6396420467766492,0.6986121406568385
reg,mlp,mse,0.7462185709222185,0.689233863344914,0.8096016502674893
reg,mlp,mae,0.6690080374199546,0.6397521651858349,0.6986953160871306
clf,dummy,mse,1.5181053846153845,1.396923076923077,1.6407692307692308
clf,dummy,mae,0.9197653846153846,0.874576923076923,0.9623269230769231
clf,dummy,f1_score,0.3299915384615385,0.30538461538461537,0.35540384615384607
clf,linear,mse,0.8800323076923078,0.8153653846153847,0.9515384615384616
clf,linear,mae,0.6616338461538461,0.6261346153846155,0.696173076923077
clf,linear,f1_score,0.4421369230769231,0.4153846153846154,0.46923076923076923
clf,svm,mse,0.8800323076923078,0.8153653846153847,0.9515384615384616
clf,svm,mae,0.6616338461538461,0.6261346153846155,0.696173076923077
clf,svm,f1_score,0.4421369230769231,0.4153846153846154,0.46923076923076923
clf,rf,mse,0.8800323076923078,0.8153653846153847,0.9515384615384616
clf,rf,mae,0.6616338461538461,0.6261346153846155,0.696173076923077
clf,rf,f1_score,0.4421369230769231,0.4153846153846154,0.46923076923076923
clf,mlp,mse,0.8800323076923078,0.8153653846153847,0.9515384615384616
clf,mlp,mae,0.6616338461538461,0.6261346153846155,0.696173076923077
clf,mlp,f1_score,0.4421369230769231,0.4153846153846154,0.46923076923076923
